Run,Block,Weight,Stimulus,TargetType,CorrectResponse,StimType,BlockType,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,target.started,use_rows,image.started,key_resp.started,corr_var,key_resp.keys,trial_fixation.started,key_resp.rt,key_resp.duration,prep_instr_2.started,target_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,11.808501800000158,11.808501800000158,s,2.6614058000000114,None,,,,,,,,,,,,,,,,,,835637,001,2024-02-14_12h32.54.916,clock-master,2023.1.3,59.889814718922736,
,,,,,,,,,,,,,,,,,,,,,,,,,14.499856200000067,14.499856200000067,1,0.46549929999991946,None,,,,,,,,,,,,,835637,001,2024-02-14_12h32.54.916,clock-master,2023.1.3,59.889814718922736,
1,1,1,BP_002_BP10_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,14.989225300000271,14.989225300000271,0,17.51906629999985,17.51906629999985,0,None,19.48901560000013,,,,,835637,001,2024-02-14_12h32.54.916,clock-master,2023.1.3,59.889814718922736,
1,1,1,BP_001_BP1_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,1,19.989531499999885,19.989531499999885,0,None,21.9919546000001,,,,,835637,001,2024-02-14_12h32.54.916,clock-master,2023.1.3,59.889814718922736,
1,1,1,BP_006_BP2_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,2,22.492463800000223,22.492463800000223,,1,24.494689500000277,0.29819169999973383,None,,,835637,001,2024-02-14_12h32.54.916,clock-master,2023.1.3,59.889814718922736,
1,1,1,BP_001_BP1_BA.png,target,target,Body,2-Back,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,3,24.995405200000278,24.995405200000278,1,1,26.997753900000134,0.2982059000000845,None,,,835637,001,2024-02-14_12h32.54.916,clock-master,2023.1.3,59.889814718922736,
1,1,1,BP_005_BP19_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,4,27.498333399999865,27.498333399999865,0,None,29.500431200000094,,,,,835637,001,2024-02-14_12h32.54.916,clock-master,2023.1.3,59.889814718922736,
1,1,1,BP_003_BP16_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,5,30.001150399999915,30.001150399999915,0,None,31.98673090000011,,,,,835637,001,2024-02-14_12h32.54.916,clock-master,2023.1.3,59.889814718922736,
1,1,1,BP_006_BP2_BA.png,lure,nontarget,Body,2-Back,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,6,32.48737250000022,32.48737250000022,0,None,34.4896561999999,,,,,835637,001,2024-02-14_12h32.54.916,clock-master,2023.1.3,59.889814718922736,
1,1,1,BP_004_BP18_BA.png,nonlure,nontarget,Body,2-Back,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,7,34.99019529999987,34.99019529999987,0,None,36.9924675000002,,,,,835637,001,2024-02-14_12h32.54.916,clock-master,2023.1.3,59.889814718922736,
1,1,1,BP_005_BP19_BA.png,lure,nontarget,Body,2-Back,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,8,37.49311369999987,37.49311369999987,0,None,39.49536900000021,,,,,835637,001,2024-02-14_12h32.54.916,clock-master,2023.1.3,59.889814718922736,
1,1,1,BP_004_BP18_BA.png,target,target,Body,2-Back,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,9,39.996008300000085,39.996008300000085,1,1,41.998211399999946,0.7699170999999296,None,,,835637,001,2024-02-14_12h32.54.916,clock-master,2023.1.3,59.889814718922736,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.50220780000018,42.50220780000018,,,,,,,
